ReducedPer,ReducedCases,EfficientPer,EfficientCases
3.456896715141128595e+01,2.000000000000000000e+01,2.949732653854464459e+01,4.700000000000000000e+01
3.516798394020734975e+01,1.400000000000000000e+01,1.257232033660416981e+01,2.300000000000000000e+01
4.292169916930816953e+01,1.200000000000000000e+01,4.528032327489724196e+01,4.100000000000000000e+01
2.217743180112460166e+01,2.300000000000000000e+01,2.856339777199459107e+01,2.800000000000000000e+01
2.910102067567397199e+01,2.000000000000000000e+01,4.258208735046029858e+01,3.800000000000000000e+01
4.231319610122030639e+01,1.100000000000000000e+01,1.077864300522570673e+01,4.900000000000000000e+01
4.749001658221230215e-01,4.800000000000000000e+01,2.660301764623285159e+00,3.500000000000000000e+01
1.630786297595534506e+01,1.500000000000000000e+01,4.238184111938533505e+01,3.900000000000000000e+01
1.371956122812090229e+00,2.200000000000000000e+01,2.157863688776495792e+01,3.100000000000000000e+01
4.940807347987813358e+01,8.000000000000000000e+00,4.455815997223191260e+01,3.000000000000000000e+01
4.386770419155647716e+01,5.000000000000000000e+00,3.186219438033482021e+01,3.600000000000000000e+01
1.295784500740970735e+00,2.900000000000000000e+01,1.654285362293395067e-01,3.000000000000000000e+01
4.058279440767600477e+01,5.000000000000000000e+00,3.028008012525906878e+01,3.000000000000000000e+01
1.351579754661179678e+01,2.500000000000000000e+01,9.051595905774266981e+00,3.200000000000000000e+01
2.032590299676282442e+01,2.500000000000000000e+01,1.480622329931724579e+01,3.600000000000000000e+01
2.330399166292285162e+00,5.100000000000000000e+01,3.597971742195098699e+01,5.000000000000000000e+01
4.348592339732793022e+01,6.000000000000000000e+00,1.910200278262741591e+01,2.700000000000000000e+01
2.112749844778669583e+01,2.200000000000000000e+01,4.673692286263493401e+01,3.200000000000000000e+01
1.634100576588710751e+01,3.500000000000000000e+01,3.570882271979396450e+01,3.000000000000000000e+01
3.457714707284066691e+01,9.000000000000000000e+00,3.591240800704247249e+01,5.200000000000000000e+01
1.215851429062758626e+01,3.800000000000000000e+01,3.974559302748114931e+01,4.400000000000000000e+01
3.378937848849770376e+01,1.100000000000000000e+01,3.903929106258922843e+01,4.600000000000000000e+01
9.971724377043589271e+00,4.800000000000000000e+01,4.280731725502162632e+00,2.500000000000000000e+01
1.583117953975827774e+01,2.300000000000000000e+01,4.335353030141300934e+01,3.100000000000000000e+01
1.412311862267103812e+01,2.900000000000000000e+01,1.301653186891469360e+01,5.500000000000000000e+01
4.502525010472535882e+01,1.100000000000000000e+01,5.062536686336827074e-01,2.900000000000000000e+01
1.388404189106573483e-02,3.500000000000000000e+01,2.040095203097296306e+01,4.800000000000000000e+01
2.437936331754324470e+01,2.400000000000000000e+01,4.816387495148348563e+01,3.900000000000000000e+01
3.255196914189957624e+01,1.200000000000000000e+01,3.487401212748870449e+01,4.000000000000000000e+01
2.332697061584359943e+01,2.000000000000000000e+01,1.296936317000202443e+01,4.000000000000000000e+01
2.874293460132142286e+01,2.700000000000000000e+01,1.291308868148857059e+01,4.000000000000000000e+01
4.926553052739950544e+01,7.000000000000000000e+00,1.525541213175480948e+01,2.600000000000000000e+01
2.176176066253994179e+01,1.700000000000000000e+01,3.652721072699620919e+01,3.900000000000000000e+01
